Level,Expression,Value,Location,Refresh
 1,"[491]",695,0x000AF03A,"1 Hz"
 1,"[492]",696,0x000AF03C,"1 Hz"
 1,"[493]",697,0x000AF03E,"1 Hz"
 1,"[494]",698,0x000AF040,"1 Hz"
 1,"[495]",699,0x000AF042,"1 Hz"
 1,"[496]",700,0x000AF044,"1 Hz"
 1,"[497]",701,0x000AF046,"1 Hz"
 1,"[498]",702,0x000AF048,"1 Hz"
 1,"[499]",703,0x000AF04A,"1 Hz"
 1,"[500]",704,0x000AF04C,"1 Hz"
 1,"[501]",705,0x000AF04E,"1 Hz"
 1,"[502]",706,0x000AF050,"1 Hz"
 1,"[503]",707,0x000AF052,"1 Hz"
 1,"[504]",708,0x000AF054,"1 Hz"
 1,"[505]",709,0x000AF056,"1 Hz"
 1,"[506]",710,0x000AF058,"1 Hz"
 1,"[507]",711,0x000AF05A,"1 Hz"
 1,"[508]",712,0x000AF05C,"1 Hz"
 1,"[509]",713,0x000AF05E,"1 Hz"
 1,"[510]",714,0x000AF060,"1 Hz"
 1,"[511]",715,0x000AF062,"1 Hz"
